loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,zip_code,addr_state,desc,fico_range_low,fico_range_high,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,acc_open_past_24mths,credit_history_years,has_past_delinq,total_pymnt,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,funded_amnt
17275.0, 36 months,11.14,566.71,B,B2,8.0,MORTGAGE,53000.0,Source Verified,2013-04-01,1,car,12.11,1997-07-01,16.0,0.0,4554.0,12.9,52.0,f,Individual,3.0,0.0,724xx,AR,  Borrower added on 04/08/13 > I have a 2008 Hummer I wish to refinace along with a discover credit card to get these paid faster.<br>,725.0,729.0,1.0,1.0,16.0,14.0,15.75085557837098,1,18580.4386219655,17275.0,1305.44,0.0,0.0,17275.0
15000.0, 36 months,17.56,538.99,D,D1,10.0,MORTGAGE,47000.0,Verified,2013-07-01,0,debt_consolidation,7.48,1998-05-01,6.0,0.0,4916.0,52.9,19.0,f,Individual,2.0,0.0,122xx,NY,"  Borrower added on 07/09/13 > would like to pay off credit cards and get a new bathtub, vanity for my bathroom.<br>",665.0,669.0,1.0,1.0,21.0,5.0,15.16769336071184,1,4587.24,1642.11,1048.29,1896.84,18.9229000024,15000.0
18000.0, 60 months,20.49,481.82,E,E1,0.0,MORTGAGE,42000.0,Verified,2012-11-01,1,debt_consolidation,33.37,2003-01-01,19.0,0.0,8107.0,73.7,33.0,f,Individual,3.0,0.0,841xx,UT,"  Borrower added on 11/17/12 > Having moved away from home at a rather young age I seemed to be on the right track until some unforeseen circumstances stunted my educational and financial goals.  Needless to say, I have just graduated, I am healthy and I am back on track!  I just need a little help!<br>",675.0,679.0,0.0,1.0,32.0,8.0,9.834360027378509,1,25305.080008034,18000.0,7305.08,0.0,0.0,18000.0
10000.0, 36 months,11.99,332.1,B,B3,4.0,RENT,41300.0,Source Verified,2014-02-01,1,credit_card,21.01,2005-06-01,11.0,0.0,10550.0,46.7,21.0,w,Individual,0.0,0.0,672xx,KS,  Borrower added on 02/14/14 > Debt Consolidation<br>,670.0,674.0,0.0,4.0,999.0,3.0,8.670773442847365,0,11718.3534158779,10000.0,1718.35,0.0,0.0,10000.0
11000.0, 36 months,17.27,393.66,C,C5,10.0,RENT,40000.0,Not Verified,2013-02-01,1,car,9.63,2000-08-01,5.0,0.0,11704.0,60.6,12.0,f,Individual,0.0,0.0,540xx,WI,  Borrower added on 01/18/13 > To fix my car and consolidate my credit card<br>,675.0,679.0,0.0,0.0,999.0,3.0,12.503764544832306,0,13789.0100005584,11000.0,2789.01,0.0,0.0,11000.0
11000.0, 36 months,17.27,393.66,C,C5,9.0,RENT,48000.0,Not Verified,2012-08-01,1,debt_consolidation,4.51,1999-09-01,12.0,0.0,10448.0,62.2,27.0,f,Individual,0.0,0.0,114xx,NY,"  Borrower added on 07/23/12 > I would like to consolidate my debt, so that I do not forget to pay for them.  I have two very young children, and they keep me on my toes.  So, sometimes I forget to pay and then get charged more money.  I really need one payment, and have it done correctly.<br><br>  Borrower added on 07/23/12 > I would like financial freedom to help others.<br>",665.0,669.0,2.0,1.0,20.0,0.0,12.917180013689254,1,14319.7582656205,11000.0,3221.36,0.0,0.0,11000.0
7200.0, 36 months,11.99,239.11,B,B3,8.0,RENT,70000.0,Source Verified,2013-10-01,1,credit_card,22.82,1993-01-01,8.0,0.0,32684.0,91.3,55.0,f,Individual,0.0,0.0,614xx,IL,"  Borrower added on 09/29/13 > This loan is to payoff high interest credit card debt. Why do I have the debt? Poor choices while going through college, followed by not budgeting for too long. I've learned how to follow a budget and my first priority is to eliminate all credit card debt. Thanks for considering.<br>",700.0,704.0,0.0,0.0,999.0,0.0,20.747433264887064,0,8433.519998642301,7200.0,1233.52,0.0,0.0,7200.0
24000.0, 36 months,13.11,809.93,B,B4,4.0,RENT,75000.0,Verified,2013-02-01,1,debt_consolidation,29.66,1996-01-01,17.0,0.0,62603.0,79.5,26.0,f,Individual,1.0,0.0,271xx,NC,  Borrower added on 02/08/13 > This loan is to consolidate my high interest credit cards.  I am able to make payments with no problem but paying down the debt seemed impossible.  This will allow me to see that I am making progress toward my goal.<br>,690.0,694.0,0.0,0.0,999.0,3.0,17.086926762491444,0,27597.378813591,24000.0,3597.38,0.0,0.0,24000.0
11000.0, 36 months,11.99,365.31,B,B3,10.0,RENT,100000.0,Not Verified,2014-03-01,0,other,17.56,2003-09-01,11.0,0.0,8870.0,43.7,18.0,f,Individual,0.0,0.0,117xx,NY,  Borrower added on 03/09/14 > Personal<br><br> Borrower added on 03/09/14 > Personal<br>,685.0,689.0,0.0,0.0,40.0,4.0,10.496919917864476,1,10848.67,8542.25,2051.74,254.68,45.842399997600005,11000.0
20800.0, 36 months,13.53,706.16,B,B5,10.0,RENT,81500.0,Verified,2013-12-01,1,debt_consolidation,16.73,1998-06-01,29.0,0.0,23473.0,54.5,41.0,f,Individual,0.0,0.0,100xx,NY,  Borrower added on 12/31/13 > My goal is to purchase a home. I am consolidating my debt to lower interest rate to pay off debt faster. My goal is targeted for February 2015.<br>,685.0,689.0,0.0,2.0,64.0,9.0,15.501711156741958,1,23926.6400082784,20800.0,3126.64,0.0,0.0,20800.0
12000.0, 36 months,7.9,375.49,A,A4,5.0,MORTGAGE,67000.0,Verified,2013-12-01,1,credit_card,19.49,1997-04-01,10.0,0.0,24075.0,73.0,27.0,w,Individual,4.0,0.0,211xx,MD,  Borrower added on 12/08/13 > I am requesting a loan to pay down some higher intrest rate credit cards....I also had some medical issues and needed to use my cards for other expenses.<br>,695.0,699.0,0.0,1.0,999.0,3.0,16.66803559206023,0,13517.3586139351,12000.0,1517.36,0.0,0.0,12000.0
24925.0, 60 months,17.99,632.8,D,D2,10.0,RENT,50000.0,Verified,2012-05-01,1,debt_consolidation,19.85,2000-11-01,7.0,0.0,12267.0,76.2,18.0,f,Individual,0.0,0.0,902xx,CA,  Borrower added on 04/22/12 > Credit cards with the highest interst rate at 18%.<br>,720.0,724.0,0.0,0.0,999.0,1.0,11.496235455167694,0,37967.582931387886,24925.0,13042.58,0.0,0.0,24925.0
3950.0, 36 months,19.05,144.9,D,D4,5.0,RENT,41710.0,Not Verified,2013-02-01,1,debt_consolidation,16.0,2001-01-01,5.0,0.0,328.0,6.6,9.0,f,Individual,0.0,0.0,705xx,LA,  Borrower added on 02/04/13 > This loan is to pay off small debts; credit cards and a car loan. Trying to decrease some overhead to start saving to possibly purchase a home.<br>,690.0,694.0,0.0,2.0,999.0,3.0,12.084873374401097,0,5215.9748355338,3950.0,1265.97,0.0,0.0,3950.0
18225.0, 36 months,7.9,570.27,A,A4,1.0,RENT,47000.0,Not Verified,2012-09-01,1,credit_card,18.94,1982-01-01,10.0,0.0,19185.0,50.6,25.0,f,Individual,0.0,0.0,786xx,TX,"  Borrower added on 09/13/12 > I have a good job at a software company, just want to clean up some credit card debt.<br>",720.0,724.0,0.0,0.0,999.0,3.0,30.666666666666668,0,19978.3125647991,18225.0,1753.31,0.0,0.0,18225.0
14400.0, 36 months,12.35,480.7,B,B4,0.0,RENT,100000.0,Not Verified,2013-07-01,0,debt_consolidation,5.4,1999-02-01,9.0,0.0,16905.0,59.5,13.0,f,Individual,0.0,0.0,941xx,CA,  Borrower added on 07/10/13 > This loan is to consolidate my credit cards and start with a clean slate.<br>,685.0,689.0,0.0,0.0,999.0,5.0,14.41204654346338,0,8482.35,5358.44,1845.2,1278.71,228.933,14400.0
7200.0, 36 months,13.98,246.01,C,C1,5.0,RENT,20000.0,Not Verified,2014-01-01,1,debt_consolidation,13.03,1983-05-01,12.0,0.0,6414.0,43.6,25.0,f,Individual,0.0,0.0,891xx,NV,"  Borrower added on 01/14/14 > Loan consolidation<br><br> Borrower added on 01/14/14 > Payday loan, credit card<br><br> Borrower added on 01/14/14 > Consolidate loan<br>",675.0,679.0,1.0,1.0,19.0,8.0,30.67214236824093,1,8856.3156131475,7200.0,1656.32,0.0,0.0,7200.0
10625.0, 60 months,19.22,276.91,D,D4,10.0,RENT,32000.0,Verified,2014-01-01,1,debt_consolidation,10.39,1984-04-01,10.0,0.0,7012.0,44.9,22.0,w,Individual,2.0,0.0,857xx,AZ,"  Borrower added on 01/14/14 > I want to pay off all my bills, I am consolidating my bills.<br>",700.0,704.0,0.0,0.0,65.0,5.0,29.752224503764545,1,16614.2151852647,10625.0,5989.22,0.0,0.0,10625.0
12000.0, 36 months,10.16,388.11,B,B1,4.0,MORTGAGE,86000.0,Not Verified,2013-03-01,1,debt_consolidation,10.37,1999-08-01,9.0,0.0,11415.0,54.4,38.0,f,Individual,2.0,0.0,347xx,FL,  Borrower added on 02/18/13 > Pay off credit cards and pay taxes in order to get out of debt earlier.<br>,680.0,684.0,0.0,0.0,39.0,7.0,13.582477754962357,1,13971.889993686398,12000.0,1971.89,0.0,0.0,12000.0
20000.0, 36 months,12.99,673.79,B,B5,10.0,RENT,83000.0,Source Verified,2014-03-01,1,debt_consolidation,16.63,1999-01-01,13.0,0.0,18051.0,36.5,34.0,f,Individual,2.0,0.0,930xx,CA,  Borrower added on 03/06/14 > I recently had two more children in 2013. My goal is to become completely debt free in three years and to become a homeowner. It's important to me and my family to become debt free of credit cards and to become homeowners. This loan would help my family and I accomplish our dreams of home ownership.<br>,685.0,689.0,2.0,0.0,12.0,4.0,15.162217659137577,1,24278.9135167964,20000.0,4278.91,0.0,0.0,20000.0
9000.0, 36 months,15.8,315.53,C,C3,0.0,MORTGAGE,50000.0,Verified,2013-03-01,1,debt_consolidation,27.64,2006-07-01,11.0,0.0,18277.0,90.9,16.0,f,Individual,1.0,0.0,347xx,FL,  Borrower added on 03/13/13 > To consolidate credit cards debts.<br>,680.0,684.0,0.0,0.0,999.0,3.0,6.666666666666667,0,11358.8676754782,9000.0,2358.87,0.0,0.0,9000.0
10800.0, 36 months,16.29,381.25,C,C4,3.0,RENT,45000.0,Not Verified,2012-11-01,1,debt_consolidation,26.89,2002-09-01,16.0,0.0,13436.0,78.6,25.0,w,Individual,0.0,0.0,530xx,WI,  Borrower added on 11/18/12 > My loan is going to pay off credit card debt that I accrued during my years of education.  I would like to save money to help with my future.<br>,670.0,674.0,2.0,1.0,18.0,0.0,10.168377823408624,1,11367.16,10800.0,567.16,0.0,0.0,10800.0
2000.0, 36 months,13.11,67.5,B,B4,6.0,RENT,46000.0,Not Verified,2012-07-01,1,debt_consolidation,18.7,2000-11-01,13.0,0.0,1312.0,69.1,36.0,f,Individual,0.0,0.0,956xx,CA,  Borrower added on 07/12/12 > I would like to consolidate my debt and work towards getting a better credit score.<br><br>  Borrower added on 07/12/12 > For those who are concerned about payback - I have a stable job and I will not be losing it anytime soon.  I have not defaulted on any payments in 6+ years and I don't ever intend to be late on a payment.  If you are helping to fund - thank you.<br>,670.0,674.0,0.0,0.0,76.0,8.0,11.663244353182751,1,2383.3115320396,2000.0,383.31,0.0,0.0,2000.0
15000.0, 36 months,11.99,498.15,B,B3,3.0,RENT,70000.0,Source Verified,2014-03-01,1,credit_card,15.91,2004-12-01,9.0,0.0,18043.0,53.9,14.0,f,Individual,0.0,0.0,330xx,FL,  Borrower added on 03/05/14 > I would like to pay off my high interest credit card debt and consolidate my loans into 1 easy monthly payment.<br><br>  Borrower added on 03/05/14 > I would like to consolidate my credit card debt to make the payments easier and more manageable.<br>,685.0,689.0,0.0,0.0,999.0,4.0,9.245722108145106,0,17933.098844198,15000.0,2933.1,0.0,0.0,15000.0
10000.0, 36 months,12.12,332.72,B,B3,2.0,MORTGAGE,52000.0,Source Verified,2013-01-01,1,debt_consolidation,13.2,1988-06-01,12.0,0.0,16300.0,93.1,21.0,f,Individual,1.0,0.0,324xx,FL,"  Borrower added on 12/24/12 > Loan should eliminate high monthly payments and allow flexibility in financial structure, with the aim of being virtually debt-free (except for<br>mortgage) within three years.<br><br> Borrower added on 12/24/12 > Elimination of high rates and high monthly, long-term payments<br>",680.0,684.0,0.0,0.0,28.0,6.0,24.58590006844627,1,11977.7703908953,10000.0,1977.77,0.0,0.0,10000.0
11500.0, 36 months,8.9,365.17,A,A5,10.0,RENT,33000.0,Not Verified,2012-08-01,1,debt_consolidation,3.09,1996-03-01,4.0,0.0,833.0,16.7,6.0,f,Individual,1.0,0.0,191xx,PA,"  Borrower added on 08/12/12 > $8000 to pay off high interest debts. Remainder is for closing costs of a home purchase. A mortgage in this area would pay about half of what we pay as renters, saving me more than this loan's payment. My credit score is reduced by a fraudulent charge that I did not make, or it would be higher.<br>",765.0,769.0,0.0,4.0,999.0,1.0,16.418891170431213,0,13113.8199935466,11500.0,1613.82,0.0,0.0,11500.0
1800.0, 36 months,17.1,64.27,C,C5,3.0,RENT,40000.0,Source Verified,2013-10-01,1,other,8.76,2007-01-01,5.0,0.0,1859.0,25.8,9.0,f,Individual,0.0,0.0,900xx,CA,  Borrower added on 09/23/13 > Engagement Ring.<br>,725.0,729.0,0.0,0.0,999.0,3.0,6.74880219028063,0,1825.771173112,1800.0,25.77,0.0,0.0,1800.0
10000.0, 36 months,7.62,311.62,A,A3,10.0,RENT,60000.0,Not Verified,2012-08-01,0,debt_consolidation,24.6,1994-12-01,23.0,0.0,5803.0,13.7,46.0,f,Individual,0.0,0.0,112xx,NY,  Borrower added on 07/26/12 > Consolidated all  bills<br>,800.0,804.0,0.0,0.0,999.0,10.0,17.66735112936345,0,2181.34,1768.01,410.53,2.8,0.0,10000.0
16000.0, 60 months,16.29,391.56,C,C4,10.0,OWN,45960.24,Verified,2013-05-01,1,debt_consolidation,33.76,1984-05-01,14.0,0.0,26700.0,40.5,23.0,w,Individual,0.0,0.0,423xx,KY,  Borrower added on 04/25/13 > It is for credit card consolidation. My credit card spending got out of hand and now I need to take control and with your help it will happen! Thank you!<br>,710.0,714.0,0.0,1.0,999.0,3.0,28.999315537303215,0,23493.4708787619,16000.0,7493.47,0.0,0.0,16000.0
8000.0, 36 months,15.8,280.47,C,C3,2.0,RENT,39000.0,Not Verified,2013-02-01,1,debt_consolidation,28.28,2005-11-01,8.0,0.0,10495.0,58.3,9.0,f,Individual,0.0,0.0,761xx,TX,"  Borrower added on 02/04/13 > My significant other lost his job back in October, and has not been able to obtain a job since. I'm trying my best to pay all the bills by myself for our family. We have exhausted our savings. I'm trying to keep our bills paid on time. Please help me get back on track until things goes smooth again.<br><br> Borrower added on 02/04/13 > Just trying to get bills paid on time until things smooth out. Please help.<br>",720.0,724.0,0.0,0.0,999.0,2.0,7.252566735112937,0,9455.424305248,8000.0,1455.42,0.0,0.0,8000.0
21000.0, 60 months,18.25,536.13,D,D3,8.0,MORTGAGE,53000.0,Source Verified,2014-02-01,1,debt_consolidation,17.66,2006-09-01,16.0,1.0,9762.0,25.2,27.0,f,Individual,6.0,1.0,327xx,FL,  Borrower added on 02/05/14 > Debt consolidation<br>,670.0,674.0,1.0,0.0,4.0,9.0,7.419575633127994,1,27415.6700216516,21000.0,6415.67,0.0,0.0,21000.0
20000.0, 36 months,10.64,651.37,B,B2,7.0,MORTGAGE,83000.0,Verified,2013-09-01,1,home_improvement,7.58,1982-12-01,6.0,0.0,3748.0,68.1,38.0,f,Individual,8.0,0.0,967xx,HI,"  Borrower added on 09/09/13 > Home improvement, repaint and landscaping.<br>",690.0,694.0,0.0,0.0,44.0,3.0,30.751540041067763,1,21579.6504419193,20000.0,1579.65,0.0,0.0,20000.0
18825.0, 36 months,13.11,635.29,B,B4,10.0,RENT,42000.0,Verified,2013-01-01,1,debt_consolidation,30.23,1993-09-01,21.0,1.0,17139.0,52.9,39.0,f,Individual,0.0,1.0,760xx,TX,"  Borrower added on 01/01/13 > This loan is to consolidate and payoff majority of debt, at a better interest rate than I currently have with my debtors.<br>",680.0,684.0,0.0,0.0,999.0,9.0,19.3347022587269,0,22513.4099719654,18825.0,3688.41,0.0,0.0,18825.0
35000.0, 36 months,11.14,1148.18,B,B2,10.0,MORTGAGE,95000.0,Verified,2013-03-01,1,debt_consolidation,17.61,1995-02-01,11.0,0.0,14039.0,48.6,30.0,f,Individual,6.0,0.0,318xx,GA,  Borrower added on 03/09/13 > To consolidate current debt and pay off for financial freedom.<br><br> Borrower added on 03/10/13 > To consolidate my debt for financial freedom.<br>,755.0,759.0,0.0,0.0,999.0,4.0,18.078028747433265,0,41334.350453705,35000.0,6334.35,0.0,0.0,35000.0
10050.0, 36 months,15.8,352.34,C,C3,10.0,OWN,30000.0,Not Verified,2013-06-01,0,debt_consolidation,17.76,1997-06-01,13.0,0.0,9242.0,22.2,16.0,f,Individual,0.0,0.0,100xx,NY,  Borrower added on 05/28/13 > repaid credit card<br>,715.0,719.0,2.0,0.0,6.0,5.0,16.0,1,6202.100000000001,3619.53,1661.09,921.48,9.1700000008,10050.0
6000.0, 36 months,12.99,202.14,B,B4,0.0,MORTGAGE,62000.0,Source Verified,2013-10-01,1,credit_card,12.37,2002-10-01,10.0,0.0,9012.0,69.3,30.0,f,Individual,3.0,0.0,933xx,CA,  Borrower added on 10/18/13 > I am using this loan to consolidate high intrest credit card debt<br>,720.0,724.0,1.0,2.0,20.0,3.0,11.000684462696784,1,7280.420002432,6000.0,1280.42,0.0,0.0,6000.0
3000.0, 36 months,8.9,95.26,A,A5,10.0,RENT,120000.0,Verified,2013-03-01,0,debt_consolidation,34.26,1982-03-01,16.0,0.0,26354.0,68.7,47.0,f,Individual,0.0,0.0,024xx,MA,"  Borrower added on 03/10/13 > My son is getting married 5/4/13, my daughter just got married last September, I am contributing $5,000.00. I owe 1,700.00~ for taxes. My rear brakes on car going. I have saved since last wedding in 7 months 2,500.00, not enough. Thank-you for the consideration.<br>",705.0,709.0,0.0,0.0,32.0,2.0,31.000684462696785,1,2190.98,1820.81,366.65,3.52,0.0,3000.0
35000.0, 60 months,22.95,985.67,F,F1,10.0,MORTGAGE,85000.0,Verified,2012-11-01,1,debt_consolidation,27.78,1989-02-01,16.0,0.0,33956.0,80.7,28.0,f,Individual,3.0,0.0,074xx,NJ,  Borrower added on 11/20/12 > Consolidate debts to make 1 easy payment versus 4 or 5 different payments<br>,675.0,679.0,2.0,0.0,16.0,5.0,23.74811772758385,1,58232.61082316309,35000.0,23134.05,0.0,0.0,35000.0
30750.0, 60 months,21.98,848.94,E,E4,10.0,MORTGAGE,145000.0,Verified,2013-05-01,1,debt_consolidation,3.89,2002-10-01,9.0,0.0,10042.0,77.2,24.0,f,Individual,1.0,0.0,970xx,OR,"  Borrower added on 05/09/13 > Pay taxes, debt consolidation<br>",660.0,664.0,0.0,0.0,82.0,3.0,10.581793292265573,1,50129.3083560604,30750.0,19379.31,0.0,0.0,30750.0
32350.0, 60 months,12.12,721.58,B,B3,4.0,MORTGAGE,82000.0,Source Verified,2012-08-01,1,vacation,0.48,1998-03-01,4.0,0.0,753.0,2.8,7.0,f,Individual,0.0,0.0,900xx,CA,  Borrower added on 08/01/12 > My husband and I will be moving and living abroad for a year to experience and see the world.<br>,795.0,799.0,0.0,0.0,999.0,0.0,14.420260095824778,0,42677.419985537,32350.0,10327.42,0.0,0.0,32350.0
10000.0, 36 months,17.27,357.88,C,C5,5.0,RENT,75000.0,Not Verified,2013-05-01,1,credit_card,6.69,1996-07-01,6.0,0.0,8343.0,33.7,13.0,f,Individual,0.0,0.0,112xx,NY,  Borrower added on 04/21/13 > to pay my higher credit card<br><br> Borrower added on 04/21/13 > to pay my higher interest credit card.<br>,680.0,684.0,2.0,2.0,19.0,5.0,16.83230663928816,1,10423.5332315169,10000.0,423.53,0.0,0.0,10000.0
33600.0, 60 months,15.31,804.82,C,C2,10.0,RENT,96000.0,Verified,2012-07-01,1,other,15.31,1998-08-01,8.0,0.0,19479.0,45.4,26.0,f,Individual,1.0,0.0,982xx,WA,"  Borrower added on 07/06/12 > I am trying to get the loan to consolidate my debt and use some extra money to remodel my home.  I own a home in San Jose, CA and it is rented out as of now.<br>",720.0,724.0,0.0,0.0,999.0,2.0,13.91649555099247,0,38413.6452284735,33600.0,4813.65,0.0,0.0,33600.0
18000.0, 60 months,17.77,454.84,D,D1,6.0,RENT,55163.0,Verified,2013-02-01,1,debt_consolidation,14.07,1996-11-01,28.0,0.0,3115.0,11.6,48.0,f,Individual,0.0,0.0,920xx,CA,"  Borrower added on 02/04/13 > Hi everyone!  <br><br>I'm just looking to consolidate some debt into one low payment at a great rate.  If you ever have any questions, please feel free to leave me a message.  <br><br>Thanks for the help and happy investing!<br>",730.0,734.0,0.0,0.0,999.0,9.0,16.251882272416154,0,24575.6500105191,18000.0,6575.65,0.0,0.0,18000.0
9925.0, 36 months,18.49,361.26,D,D2,0.0,RENT,67000.0,Not Verified,2013-04-01,1,debt_consolidation,9.19,2006-01-01,16.0,0.0,13993.0,88.6,18.0,f,Individual,2.0,0.0,023xx,MA,  Borrower added on 03/21/13 > I am looking to pay off my credit cards so that I will be able to start saving that money for my son's college education.  I am hoping that I will be able to pay off this loan faster than the 36 months. Thank you.<br>,665.0,669.0,0.0,2.0,999.0,7.0,7.247091033538672,0,12936.249221118602,9925.0,3011.25,0.0,0.0,9925.0
18000.0, 60 months,24.7,525.17,G,G1,5.0,RENT,250000.0,Verified,2013-03-01,1,moving,8.26,1998-04-01,4.0,0.0,2607.0,49.2,21.0,f,Individual,2.0,0.0,212xx,MD,  Borrower added on 02/16/13 > Consolidation of debt and moving expenses to prepare for a new chapter in our lives<br><br> Borrower added on 02/16/13 > Consolidate moving expenses and current debts.<br>,675.0,679.0,0.0,2.0,39.0,3.0,14.915811088295689,1,23506.6877089043,18000.0,5506.69,0.0,0.0,18000.0
12000.0, 36 months,15.8,420.71,C,C3,1.0,RENT,46000.0,Source Verified,2012-09-01,1,debt_consolidation,7.8,1983-02-01,9.0,0.0,2448.0,58.3,23.0,f,Individual,0.0,0.0,920xx,CA,  Borrower added on 09/05/12 > I have worked diligently the last couple years to pay off my debt. I would like this loan to consolidate a few remaining accounts with high interest rates to put myself in a better place.<br>,675.0,679.0,1.0,3.0,12.0,2.0,29.582477754962355,1,14447.8354307211,12000.0,2447.84,0.0,0.0,12000.0
32875.0, 36 months,15.61,1149.47,C,C4,10.0,RENT,72488.0,Verified,2014-01-01,1,debt_consolidation,17.24,1997-08-01,18.0,0.0,24406.0,68.0,41.0,f,Individual,0.0,0.0,023xx,MA,  Borrower added on 01/03/14 > Consolidation.<br>,685.0,689.0,0.0,0.0,29.0,3.0,16.418891170431213,1,40895.170000802296,32875.0,8020.17,0.0,0.0,32875.0
5750.0, 36 months,13.67,195.61,B,B5,0.0,OWN,15000.0,Source Verified,2012-06-01,0,major_purchase,14.0,2003-08-01,5.0,0.0,10160.0,87.6,12.0,f,Individual,0.0,0.0,856xx,AZ,  Borrower added on 06/01/12 > To purchase an RV<br>,675.0,679.0,0.0,0.0,999.0,2.0,8.83504449007529,0,5705.089999999987,4255.68,1217.49,216.97,38.341800004,5750.0
12000.0, 36 months,14.33,412.06,C,C1,3.0,MORTGAGE,66263.0,Source Verified,2013-04-01,1,debt_consolidation,22.84,2001-07-01,9.0,0.0,5466.0,77.0,30.0,f,Individual,1.0,0.0,531xx,WI,"  Borrower added on 04/15/13 > It's time to pay this this debt off, and better my financial situation.<br>",670.0,674.0,0.0,1.0,36.0,6.0,11.75085557837098,1,12685.1619989718,12000.0,685.16,0.0,0.0,12000.0
16000.0, 60 months,17.27,399.97,C,C5,0.0,RENT,60000.0,Source Verified,2013-01-01,1,debt_consolidation,24.6,2002-04-01,19.0,0.0,16016.0,57.8,49.0,w,Individual,3.0,0.0,916xx,CA,  Borrower added on 12/28/12 > Consolidate all credit card debt into one more manageable payment and start saving money.<br>,670.0,674.0,0.0,0.0,60.0,4.0,10.754277891854894,1,20897.7472819103,16000.0,4897.75,0.0,0.0,16000.0
19500.0, 60 months,24.5,566.65,F,F3,10.0,MORTGAGE,60000.0,Verified,2013-09-01,1,credit_card,31.56,1996-10-01,11.0,0.0,14032.0,59.7,32.0,f,Individual,4.0,0.0,360xx,AL,  Borrower added on 08/19/13 > To pay off all loans. So I have 1 payment.<br>,665.0,669.0,1.0,4.0,14.0,4.0,16.917180013689254,1,29228.2300019457,19500.0,9728.23,0.0,0.0,19500.0
19500.0, 60 months,14.64,460.23,C,C3,10.0,MORTGAGE,45000.0,Source Verified,2014-03-01,1,debt_consolidation,15.71,2004-02-01,17.0,0.0,19615.0,34.3,26.0,f,Individual,3.0,0.0,011xx,MA,  Borrower added on 03/13/14 > Consolidate bills<br>,710.0,714.0,0.0,0.0,999.0,7.0,10.078028747433263,0,27613.5288670578,19500.0,8113.53,0.0,0.0,19500.0
14400.0, 36 months,15.8,504.85,C,C3,10.0,RENT,82000.0,Source Verified,2013-03-01,1,credit_card,22.19,2001-02-01,16.0,0.0,14495.0,48.3,25.0,f,Individual,0.0,0.0,908xx,CA,  Borrower added on 03/09/13 > Pay off all credit cards<br><br> Borrower added on 03/10/13 > Need to payoff bank &amp; retail  credit cards.Paying double &amp; some triple abv min.payments but interest &amp; fees are making hard to paydown.Have paid some off  in the past 3 months<br>,705.0,709.0,0.0,6.0,999.0,6.0,12.0766598220397,0,17800.0299891075,14400.0,3400.03,0.0,0.0,14400.0
14400.0, 36 months,14.09,492.79,B,B5,10.0,RENT,72000.0,Not Verified,2013-03-01,1,credit_card,19.35,1996-10-01,15.0,0.0,18876.0,91.2,45.0,w,Individual,2.0,0.0,331xx,FL,"  Borrower added on 02/21/13 > My loan is to pay off credit cards which was at a normal apr,but increased when i short sold my home because of a personal life break up and denied a remodification on home loan...I have never been late on any payments...even today ..wanna pay off debt to buy a new home and continue my education.<br>",675.0,679.0,2.0,0.0,17.0,1.0,16.413415468856947,1,16044.0636121643,14400.0,1644.06,0.0,0.0,14400.0
12000.0, 36 months,6.62,368.45,A,A2,8.0,MORTGAGE,70000.0,Not Verified,2012-05-01,1,credit_card,9.46,1992-06-01,9.0,0.0,12028.0,44.7,12.0,f,Individual,1.0,0.0,925xx,CA,"  Borrower added on 04/19/12 > I recently bought a house, and I used a zero interest credit card to finance repairs to the house. The zero interest grace period has ended, and I would like to use this loan to pay the money back with less expense.  Thanks!<br>",740.0,744.0,0.0,0.0,999.0,7.0,19.915126625598905,0,13263.9599979792,12000.0,1263.96,0.0,0.0,12000.0
9000.0, 36 months,18.25,326.51,D,D2,5.0,RENT,83000.0,Not Verified,2013-09-01,1,debt_consolidation,15.38,2002-05-01,10.0,0.0,5360.0,94.0,21.0,f,Individual,0.0,0.0,900xx,CA,  Borrower added on 09/05/13 > My loan will be used to pay down an existing loan that I have with a substantially higher interest rate.<br>,660.0,664.0,1.0,0.0,14.0,2.0,11.33744010951403,1,10413.6916435906,9000.0,1413.69,0.0,0.0,9000.0
9000.0, 36 months,11.99,298.89,B,B3,1.0,MORTGAGE,89000.0,Not Verified,2014-01-01,1,debt_consolidation,17.73,2004-02-01,9.0,0.0,3838.0,54.1,30.0,f,Individual,1.0,0.0,774xx,TX,  Borrower added on 01/22/14 > Just need consolidate High Interest rate cards<br>,680.0,684.0,1.0,0.0,8.0,4.0,9.91649555099247,1,9798.0600019888,9000.0,798.06,0.0,0.0,9000.0
35000.0, 36 months,11.99,1162.34,B,B3,0.0,MORTGAGE,150000.0,Source Verified,2013-12-01,1,debt_consolidation,13.34,1988-08-01,14.0,0.0,31906.0,57.4,37.0,f,Individual,2.0,0.0,850xx,AZ,  Borrower added on 12/30/13 > To consolidate credit card debt so that I can be debt free much faster than if I pay the credit cards individually.<br>,715.0,719.0,0.0,2.0,999.0,10.0,25.33333333333333,0,40059.8999903858,35000.0,5059.9,0.0,0.0,35000.0
